SiteCode,SampleCode,Location,HgAvgFish (ppm),Common_Name,Point_X_longitude,Point_Y_ latitude
,LAG-F8,,0.144892825,Yuarachi,-68.815,-12.462
,LAG-F9,,0.274640863,Yuarachi,-68.815,-12.462
,LAG-F10,,0.302308305,Yuarachi,-68.815,-12.462
,LAG-F11,,0.66840935,Sapamama,-68.815,-12.462
,LAG-F12,,0.332314709,Sapamama,-68.815,-12.462
,LAG-F13,,0.569148535,Boca Chico,-68.815,-12.462
,LAG-F14,,0.435705329,Boca Chico,-68.815,-12.462
,LAG-F15,,0.295451943,Boca Chico,-68.815,-12.462
,LAG-F16,,0.339895593,Sapamama,-68.815,-12.462
,LAG-F17,,1.441324179,Chambira,-68.815,-12.462
,LAG-F18,,3.75229108,Chambira,-68.815,-12.462
,LAG-F19,,2.365822766,Mota Con Puntos(Mota punnteada?),-68.815,-12.462
,LAG-F20,,1.125877948,Mota Con Puntos(Mota punnteada?),-68.815,-12.462
,LAG-F21,,3.230645526,Pico de Pato,-68.815,-12.462
,,,,,-70.204,-12.587
,,,,,-70.204,-12.587
,TMD-F1,,1.820090935,Mota Con Puntos,-69.178,-12.585
,TMD-F2,,1.036302661,Yuarachi,-69.178,-12.585
,TMD-F3,,,Yuarachi,-69.178,-12.585
,TMD-F4,,1.98812309,Chambira,-69.178,-12.585
,TMD-F5,,0.045745697,Mota??,-69.178,-12.585
,TMD-F6,,1.391954984,Pico de Pato,-69.178,-12.585
,TMD-F7,,1.256065335,Pico de Pato,-69.178,-12.585
,2ATA-F1,,0.228474245,Carachama,-71.393,-12.802
,2ATA-F2,,0.163038122,Boca Chico,-71.391,-12.819
,2BLA-F1,,1.029746553,Pirana Amarilla,-69.176,-12.591
,2BLA-F2,,2.019284205,Pirana Pana,-69.176,-12.591
,2BLA-F3,,1.076456667,Pirana Pana,-69.176,-12.591
,2BLA-F4,,1.84870445,Pirana Pana,-69.176,-12.591
,2BLA-F5,,0.26350322,"Not sure, like a paiche",-69.176,-12.591
,2BLA-F6,,0.695804596,Corbina,-69.176,-12.591
,2BLA-F7,,0.190559364,Sabalo,-69.176,-12.591
,2BLA-F8,,0.126477016,Boca Chico,-69.176,-12.591
,2BLA-F9,,0.296405915,Boca Chico,-69.176,-12.591
,2BLA-F10,,1.169050613,Pirana,-69.176,-12.591
,2BLA-F11,,0.43095686,Boca Chico,-69.176,-12.591
,2BLA-F12,,1.092421027,Pirana,-69.176,-12.591
,2BLA-F13,,0.654076118,Pirana,-69.176,-12.591
,2BLA-F14,,0.180995846,Carachama,-69.176,-12.591
,2BLA-F15,,0.004425368,Pirana,-69.176,-12.591
,2BLA-F16,,0.014058163,Pirana Roja,-69.176,-12.591
,2BLA-F17,,0.48958374,Boca Chico,-69.176,-12.591
,2BLA-F18,,0.549131075,Boca Chico,-69.176,-12.591
,2BLA-F19,,1.628311307,Corbina,-69.176,-12.591
,2BMA-F1,,0.048986608,Palometa,-70.911,-12.266
,2BMA-F2,,0.797597325,Pico de Pato/Shiripiro,-70.891,-12.273
,2BMA-F3,,2.882460564,Mota con Puntos,-70.911,-12.266
,2BMA-F4,,6.322615615,Zungaro,-70.911,-12.266
,2BMA-F5,,6.092911792,Zungaro,-70.911,-12.266
,2BMA-F6,,2.444437546,Zungaro,-70.911,-12.266
,2BMA-F7,,0.810101833,Bagre,-70.911,-12.266
,2BMA-F8,,0.210777727,Bagre (small),-70.911,-12.266
,2BMA-F9,,1.441177178,Yaurachi,-70.911,-12.266
,2BMA-F10,,0.501059335,Boca Chico,-70.911,-12.266
,2BMA-F11,,0.54165491,Yuarachi,-70.911,-12.266
,2BMA-F12,,1.254099336,Yuarachi,-70.911,-12.266
,2BMA-F13,,1.13637867,Yuahuarachi,-70.911,-12.266
,2BMA-F14,,2.077175041,Yuarachi,-70.911,-12.266
,2BMA-F15,,0.915717058,Yuarachi,-70.911,-12.266
,2BMA-F16,,1.350256822,Yuarachi,-70.911,-12.266
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.072,-12.577
,,,,,-70.07,-12.577
,,,,,-70.072,-12.577
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-70.072,-12.577
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.787,-12.706
,,,,,-69.761,-12.703
,,,,,-70.072,-12.577
,,,,,-69.761,-12.703
,,,,,-69.761,-12.703
,,,,,-70.072,-12.577
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-70.055,-12.578
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
,,,,,-68.814,-12.456
