sitecode,samplecode,season,FieldCode,Community,CommCode,Location,Mainstem,Latitude,Longitude,Field1,ID,HgT_A_wet,HgT_B_wet,HgT_C_wet,HgT_D_wet,Percent_Solid_A,Percent_Solid_B,Percent_Solid_C,HgT_A,HgT_B,HgT_C,loc50,section,sectiondiff,sec1,sec2,sec3,hgt_avg,hgt1000_avg
01BMA-U1,1-01BMA-U1-2,1,,Boca Manu,BMA,100,1,-12.28635,-70.93368,,67,0.0055,0.0059,0.0053,,0.698457736,0.759163388,0.637470748,0.007874492,0.007771713,0.008314107,2,1,0,100,0,0,0.007986771,7.986770741
01BMA-U1,1-01BMA-U1-3,1,,Boca Manu,BMA,100,1,-12.28635,-70.93368,,68,,,,,0.692919368,0.638875345,0.714048673,,,,2,1,0,100,0,0,,
01BMA-U1,2-01BMA-U1-2,2,,Boca Manu,BMA,100,1,-12.28635,-70.93368,,69,0.0051,0.0055,0.0049,,0.741268428,0.739857212,0.730534588,0.006880099,0.007433867,0.006707417,2,1,0,100,0,0,0.007007127,7.007127489
01BMD-D1,1-01BMD-D1-1,1,,Bajo Madre de Dios,BMD,487,1,-12.60398,-69.13095,,18,0.0133,0.0087,0.0139,,0.727551398,0.707915832,0.700810727,0.018280495,0.012289597,0.019834171,9.74,3,0,180,280,87,0.016801421,16.80142111
01BMD-D1,1-01BMD-D1-3,1,,Bajo Madre de Dios,BMD,487,1,-12.60398,-69.13095,,19,0.0118,0.0163,0.0195,,0.690060783,0.694304028,0.685580493,0.017099943,0.023476747,0.02844305,9.74,3,0,180,280,87,0.02300658,23.00657985
01BMD-D1,2-01BMD-D1-1,2,,Bajo Madre de Dios,BMD,487,1,-12.60398,-69.13095,,21,0.006,0.0048,0.007,,0.745461628,0.767464419,0.740224407,0.008048704,0.006254362,0.009456592,9.74,3,0,180,280,87,0.007919886,7.919885785
01BMD-D1,2-01BMD-D1-3,2,,Bajo Madre de Dios,BMD,487,1,-12.60398,-69.13095,,22,0.0138,0.014,0.0144,,0.711,0.714,0.702,0.0194,0.0196,0.0205,9.74,3,0,180,280,87,0.019833333,19.83333333
01BMD-D2,1-01BMD-D2-1,1,,Bajo Madre de Dios,BMD,490,1,-12.604795,-69.1033864,,24,0.0142,0.0204,0.0183,,0.713734679,0.654944209,0.688893747,0.019895348,0.031147691,0.026564329,9.8,3,0,180,280,90,0.025869123,25.86912275
01BMD-Q2,2-01BMD-Q1-1,2,2-01BMD-Q1,Bajo Madre de Dios,BMD,484,1,-12.59849,-69.16039,,13,,0.0136,0.0118,,,0.747900593,0.591208977,,0.018184235,0.019959102,9.68,3,0,180,280,84,0.019071668,19.07166818
01BPI-D1,1-01BPI-D1-1,1,,Bajo Piedras,BPI,466,1,-12.4843487,-69.1818534,,11,0.0138,0.0159,,,0.68503485,0.679866353,,0.02014496,0.023386949,,9.32,3,0,180,280,66,0.021765955,21.76595495
01BPI-D1,1-01BPI-D1-3,1,,Bajo Piedras,BPI,466,1,-12.4843487,-69.1818534,,12,0.0177,0.0114,0.0133,,0.664190255,0.738556147,0.570442615,0.026648991,0.015435522,0.023315229,9.32,3,0,180,280,66,0.021799914,21.79991397
01FOR-D1,1-01FOR-D1-1,1,,Fortuna,FOR,373,1,-12.70421,-69.63218,,47,0.0226,0.0283,0.0244,,0.675549539,0.678575319,0.684488124,0.033454245,0.041705024,0.035647076,7.46,2,0,180,193,0,0.036935448,36.93544838
01FOR-D1,1-01FOR-D1-2,1,,Fortuna,FOR,373,1,-12.70421,-69.63218,,48,,0.0183,0.0205,,0.664342215,0.708526815,0.714529229,,0.0258,0.0287,7.46,2,0,180,193,0,0.02725,27.25
01FOR-D1,1-01FOR-D1-3,1,,Fortuna,FOR,373,1,-12.70421,-69.63218,,49,0.0139,0.0131,0.0109,,0.716006322,0.703703704,0.708402785,0.019413236,0.018615789,0.015386727,7.46,2,0,180,193,0,0.017805251,17.80525084
01FOR-D1,2-01FOR-D1-1,2,,Fortuna,FOR,373,1,-12.70421,-69.63218,,2,0.0197,0.0153,0.0157,,0.675549539,0.678575319,0.684488124,0.029161444,0.022547239,0.022936848,7.46,2,0,180,193,0,0.024881844,24.88184367
01FOR-D1,2-01FOR-D1-3,2,,Fortuna,FOR,373,1,-12.70421,-69.63218,,3,0.0138,0.0228,0.0434,,0.692760171,0.74388251,0.559716764,0.019920314,0.030650001,0.077539218,7.46,2,0,180,193,0,0.042703178,42.70317766
01FOR-Q1,1-01FOR-Q1-2,1,,Fortuna,FOR,374,1,-12.705,-69.622,,4,0.0359,0.0216,0.0157,,,,,,,,7.48,2,0,180,194,0,,
01FOR-Q2,1-01FOR-Q2-2,1,,Fortuna,FOR,374,1,-12.705,-69.622,,5,0.014,0.0108,0.0806,,,,,,,,7.48,2,0,180,194,0,,
