SiteCode,FieldCode,Community,CommCode,Location,Point_Y,Point_X,Field1,location2,SampleCode,Mainstem,TSS_1,TSS_2,TSS_3,TSS_avg,TSS_stdev,Hg_p_a,Hg_p_b,Hg_p_c,Hg_p_avg,Hg_p_stdev,Hg_ss_a,Hg_ss_b,Hg_ss_c,Hg_ss_avg,Hg_ss_stdev,season,loc50,section,sectiondiff,sec1,sec2,sec3
01PAR-D1,,Puerto Pardo,PAR,560,-12.49964,-68.66259,,560,2-01PAR-D1-24A,1,295.6,251.2,163.6,236.8,67.2,25.80743666,43.5646118,,34.68602423,12.55621896,0.094394428,0.159343862,,0.126869145,0.045926185,2,11.2,3,0,180,280,160
01PPA-D1,,Puerto Pastora,PPA,453,-12.575,-69.205,,453,1-01PPA-D1-24A,1,246,495.3,,370.6666667,176.3052908,22.64056978,19.03264826,,20.83660902,2.55118577,0.061080674,0.051347073,,0.056213873,0.006882695,1,9.06,3,0,180,280,53
01RAM-D1,,Rio Amigo,RAM,299,-12.58018,-70.05784,,299,1-01RAM-D1-24A,1,718.5,668.5,,693.5,35.35533906,18.59,,,18.59,,0.026800895,,,0.026800895,,1,5.98,2,0,180,119,0
01RAM-D1,,Rio Amigo,RAM,299,-12.58018,-70.05784,,299,2-01RAM-D1-24A,1,229.6,169.6,108.8,169.3333333,60.4004415,15.24857196,8.46,10.44466426,11.38441207,3.490490192,0.090050622,0.049963311,,0.070006967,0.028346009,2,5.98,2,0,180,119,0
01RAZ-D1,,Rio Azul,RAZ,186,-12.49224,-70.57089,,186,1-01RAZ-D1-24A,1,375.4,338.6,,357,26.06193565,7.004231439,6.881643069,,6.942937254,0.086683068,0.019619696,0.019276311,,0.019448004,0.00024281,1,3.72,2,0,180,6,0
01RAZ-D1,,Rio Azul,RAZ,186,-12.49224,-70.57089,,299,2-01RAZ-D1-24A,1,61.7,91.8,,76.75759135,21.26051372,1.942075489,1.819854158,,1.880964823,0.086423532,0.025301413,0.02370911,,0.024505261,0.001125928,2,3.72,2,0,180,6,0
01RAZ-Q6,,Rio Azul,RAZ,186,-12.48314,-70.58023,,299,2-01RAZ-Q6-14A,3,52.3,60,,56.13333333,5.468292441,0.546915273,0.57198006,,0.559447666,0.017723481,0.009743146,0.010189669,,0.009966407,0.000315739,2,3.72,2,0,180,6,0
01SAL-D1,,Salvacion,SAL,8,-12.84284,-71.387,,8,2-01SAL-D1-24A,1,102.5,112,131.5,115.3,14.8,2.726067383,2.664890355,,2.695478869,0.043258692,0.025417878,0.024847463,,0.02513267,0.000403344,2,0.16,1,0,8,0,0
01SAL-Q1,,Salvacion,SAL,5,-12.849,-71.382,,5,1-01SAL-Q1-24AB,1,698.4,713.2,,705.8,10,6.588776087,7.190409913,,6.889593,0.425419358,0.009335189,0.010187603,,0.009761396,0.000602748,1,0.1,1,0,5,0,0
01SAL-U1,,Salvacion,SAL,8,-12.842,-71.387,,8,1-01SAL-U1-24A,1,500.8,593.2,,547,65.33666658,4.29592154,4.902972646,,4.599447093,0.429249953,0.007853604,0.008963387,,0.008408496,0.000784735,1,0.16,1,0,8,0,0
